"","years","LPI_final","CI_low","CI_high","numZeros"
"1",1950,1,1,1,15
"2",1951,0.980448698897915,0.92026670792308,1.03613278503493,15
"3",1952,1.01596104774684,0.936628155819099,1.09528436409741,11
"4",1953,1.022183920987,0.932491766338571,1.10943237423483,12
"5",1954,1.00188024487335,0.90907053112092,1.09651511484161,12
"6",1955,0.979350123014243,0.884760746697587,1.07587608136536,16
"7",1956,0.979606343319387,0.878072909993438,1.08318777841431,17
"8",1957,0.980175344045879,0.872592826132964,1.09218485677902,9
"9",1958,0.993510536557912,0.881383418227036,1.10445605797859,15
"10",1959,1.00972104005406,0.896853816979295,1.12631756880129,17
"11",1960,1.02736041669313,0.907396191075533,1.15185246804618,19
"12",1961,1.05822192173174,0.929874059059158,1.18430286649967,15
"13",1962,1.07434336362497,0.943908771059906,1.20802473726879,16
"14",1963,1.07306750591944,0.938293335070454,1.21048481180574,13
"15",1964,1.06420135834977,0.931750332791952,1.19563434013552,17
"16",1965,1.04798892648337,0.914811754831638,1.17886899148405,18
"17",1966,1.04383291073571,0.910199484587305,1.17744709108081,16
"18",1967,1.0370365866087,0.900626623138529,1.17517018281898,12
"19",1968,1.03446369582938,0.895073627208618,1.17105672384035,17
"20",1969,1.03960748669161,0.901155833029734,1.17905400667135,14
"21",1970,1.03854167800685,0.895029724976676,1.17748943851553,43
"22",1971,1.05476258671296,0.912265941374771,1.19525728974136,38
"23",1972,1.07897277846467,0.934530572374986,1.22783100323413,41
"24",1973,1.10243970539006,0.951772573086925,1.25360753410913,44
"25",1974,1.10420859789173,0.950489346915011,1.25053125761421,41
"26",1975,1.1034669303187,0.949607998666214,1.25052249788855,61
"27",1976,1.0953629325465,0.943043777221002,1.24215340164486,50
"28",1977,1.09430792512503,0.939518272380333,1.24043652924176,46
"29",1978,1.07839139967134,0.924370395671136,1.22329362204078,43
"30",1979,1.07455785716338,0.918747946598367,1.22013653069398,56
"31",1980,1.07402194344321,0.917916622961843,1.22023841030102,60
"32",1981,1.06183998976272,0.90738594253488,1.21191802760986,220
"33",1982,1.04876539971134,0.893363607624049,1.19341609334214,254
"34",1983,1.05672713538961,0.901734062958526,1.19569932118426,227
"35",1984,1.03631541268259,0.883982904272553,1.17843638630534,299
"36",1985,1.02373304072561,0.871211962495673,1.16315217504559,358
"37",1986,1.01729795219877,0.864442417836907,1.15422218227182,247
"38",1987,1.01668415732457,0.865770441788767,1.15314098486788,276
"39",1988,1.01569793098059,0.863252671112865,1.15131593003737,298
"40",1989,1.01707503361289,0.865690791262857,1.15859098050211,275
"41",1990,1.01058741846479,0.85912548354844,1.15239911356781,298
"42",1991,1.00395140955061,0.854821505256559,1.14682353244653,342
"43",1992,0.997837094649257,0.850942685053601,1.14237938776867,445
"44",1993,0.987937758104682,0.842497199762564,1.13209802690725,518
"45",1994,0.984377569481161,0.836607494002188,1.12798656192489,606
"46",1995,0.980902737342392,0.833754828022918,1.12605885438451,783
"47",1996,0.956155735591279,0.812910215638998,1.09744527211933,884
"48",1997,0.938931518718538,0.796005375606824,1.07859861389334,1052
"49",1998,0.912369342787216,0.775445093795176,1.04659303736484,1161
"50",1999,0.886763372619856,0.752788339217168,1.01916157778936,1307
"51",2000,0.865940775242733,0.7336979352981,0.994451074090285,1329
"52",2001,0.842933982451279,0.715038464560773,0.970086019045322,1349
"53",2002,0.825827609360013,0.701506910182951,0.949364729221668,1476
"54",2003,0.820496627119548,0.696802993515994,0.94236366112956,1318
"55",2004,0.809553918540053,0.685300011722457,0.929212448640524,1189
"56",2005,0.793214911476281,0.670589936685813,0.907823848980513,1403
"57",2006,0.774164709298868,0.654390782645724,0.888282730871113,1504
"58",2007,0.749885979548072,0.635484214432904,0.860578992367735,1646
"59",2008,0.738699795459899,0.626115810865713,0.848272114984576,1676
"60",2009,0.718239150227146,0.610952129556551,0.825422178132846,2049
"61",2010,0.692809424065174,0.588598602749089,0.79606375041811,3216
"62",2011,0.678758407299738,0.575786874210427,0.779989456387298,3331
"63",2012,0.659485983610435,0.55813019262648,0.75783932833578,3137
"64",2013,0.660779173370339,0.561326646113862,0.760760686932747,3401
"65",2014,0.63977542377874,0.540919111347385,0.736564368723009,3113
"66",2015,0.629634855979759,0.535457888787673,0.725986218424948,3362
"67",2016,0.607199958620562,0.513338745863167,0.701147925542672,3369
"68",2017,0.566971828005049,0.474567340851514,0.65808070535756,3238
"69",2018,0.557741760314432,0.471189508473325,0.645358880092978,3205
"70",2019,0.536820649978097,0.44974675380333,0.624046968805208,2716
"71",2020,0.495789185918737,0.416520314692271,0.574585683073773,2580
