"","LPI_final","CI_low","CI_high","sim","label","trend_type","years"
"1",1,1,1,1,"20%","Convex Decrease",1950
"2",0.870592257854322,0.831712881437199,0.918547871969447,1,"20%","Convex Decrease",1951
"3",0.791879576832063,0.744262962051503,0.851037675041242,1,"20%","Convex Decrease",1952
"4",0.746897295832214,0.700624935489805,0.807793132233175,1,"20%","Convex Decrease",1953
"5",0.726934061531555,0.679946997538163,0.785270300949008,1,"20%","Convex Decrease",1954
"6",0.720819650590787,0.672636841354971,0.780599139903361,1,"20%","Convex Decrease",1955
"7",0.720743283383262,0.669519493857566,0.782867225434958,1,"20%","Convex Decrease",1956
"8",0.722371288060429,0.669963618053189,0.789916855776691,1,"20%","Convex Decrease",1957
"9",0.722664626366547,0.668485745266561,0.789943751663667,1,"20%","Convex Decrease",1958
"10",0.718956105671527,0.660958339954072,0.784721924484697,1,"20%","Convex Decrease",1959
"11",0.712525592689055,0.654242450214233,0.78148189294262,1,"20%","Convex Decrease",1960
"12",0.707035799371707,0.647929779739147,0.776811806604802,1,"20%","Convex Decrease",1961
"13",0.7028761270052,0.644680602533417,0.775803550446915,1,"20%","Convex Decrease",1962
"14",0.697082940192055,0.639929127031862,0.767482440918129,1,"20%","Convex Decrease",1963
"15",0.687499957215734,0.629813218549984,0.758536103974456,1,"20%","Convex Decrease",1964
"16",0.675145640008454,0.616584857830852,0.743916963510326,1,"20%","Convex Decrease",1965
"17",0.663234004743329,0.605769103324705,0.733854524519508,1,"20%","Convex Decrease",1966
"18",0.655124661184133,0.596892777008594,0.725907714594389,1,"20%","Convex Decrease",1967
"19",0.650287381226596,0.592798358154494,0.721428333147616,1,"20%","Convex Decrease",1968
"20",0.645045780902403,0.587322067012581,0.716884129038953,1,"20%","Convex Decrease",1969
"21",0.636654339272015,0.579728201244489,0.706790798975073,1,"20%","Convex Decrease",1970
"22",0.62710932883161,0.571694418150365,0.695845032860219,1,"20%","Convex Decrease",1971
"23",0.620760116692898,0.564286987254279,0.688799695105235,1,"20%","Convex Decrease",1972
"24",0.61879525306995,0.563781107418822,0.686246240442644,1,"20%","Convex Decrease",1973
"25",0.618142485261833,0.561787871577406,0.687958082435311,1,"20%","Convex Decrease",1974
"26",0.614669732111423,0.556555841724653,0.684758826736139,1,"20%","Convex Decrease",1975
"27",0.607698708914947,0.550021848671021,0.679244292903395,1,"20%","Convex Decrease",1976
"28",0.599043323828251,0.540608425937905,0.671203496258178,1,"20%","Convex Decrease",1977
"29",0.591829598056533,0.535487068060257,0.663007867140671,1,"20%","Convex Decrease",1978
"30",0.587271812183561,0.531480384391797,0.661387988166046,1,"20%","Convex Decrease",1979
"31",0.582975122326311,0.526011614523629,0.655086150609445,1,"20%","Convex Decrease",1980
"32",0.576292623487502,0.520386836701914,0.64779555167679,1,"20%","Convex Decrease",1981
"33",0.567501658781405,0.510558785403792,0.640210987087013,1,"20%","Convex Decrease",1982
"34",0.559412447472685,0.502213443319483,0.629362346827804,1,"20%","Convex Decrease",1983
"35",0.554397184978647,0.498088545142157,0.624299105252676,1,"20%","Convex Decrease",1984
"36",0.553362558209767,0.495852801232989,0.624405431189776,1,"20%","Convex Decrease",1985
"37",0.554621660684229,0.496372802025257,0.625091786958356,1,"20%","Convex Decrease",1986
"38",0.555144198469135,0.49604796081373,0.625711345952684,1,"20%","Convex Decrease",1987
"39",0.553352145231188,0.493786475146709,0.624859151245143,1,"20%","Convex Decrease",1988
"40",0.549641903050885,0.48891135068985,0.618694500383945,1,"20%","Convex Decrease",1989
"41",0.545615428275576,0.485506748569541,0.614957511241888,1,"20%","Convex Decrease",1990
"42",0.543084333757901,0.481315022344662,0.613053358523678,1,"20%","Convex Decrease",1991
"43",0.541981462735666,0.481032753792827,0.612426497709327,1,"20%","Convex Decrease",1992
"44",0.541153061084226,0.480595857432515,0.611249858833223,1,"20%","Convex Decrease",1993
"45",0.538793107074093,0.478558907848515,0.610005232174828,1,"20%","Convex Decrease",1994
"46",0.533437445068779,0.472983960637855,0.604092609216267,1,"20%","Convex Decrease",1995
"47",0.526133791450594,0.466990915982298,0.596165094916222,1,"20%","Convex Decrease",1996
"48",0.519498845284568,0.460464295710131,0.588964890737905,1,"20%","Convex Decrease",1997
"49",0.514946115787177,0.456692417414537,0.585245646184878,1,"20%","Convex Decrease",1998
"50",0.512364070619963,0.453660005111266,0.581024393239242,1,"20%","Convex Decrease",1999
"51",0.51060190060481,0.451595263832857,0.58068943258081,1,"20%","Convex Decrease",2000
"52",0.508565960259164,0.449344698413629,0.577117506327192,1,"20%","Convex Decrease",2001
"53",0.50681433455123,0.447530490259953,0.576176282978017,1,"20%","Convex Decrease",2002
"54",0.50514756217611,0.447248706955048,0.576547034737876,1,"20%","Convex Decrease",2003
"55",0.502816635889089,0.44588444785815,0.573317947335089,1,"20%","Convex Decrease",2004
"56",0.498597542306194,0.441071085295503,0.567103064901023,1,"20%","Convex Decrease",2005
"57",0.492836047300267,0.435513467725819,0.562143712696685,1,"20%","Convex Decrease",2006
"58",0.487604640870389,0.429720351743952,0.557141362709504,1,"20%","Convex Decrease",2007
"59",0.486070835344536,0.426852403534282,0.55597146933329,1,"20%","Convex Decrease",2008
"60",0.48853350085525,0.428767134990176,0.558032746710206,1,"20%","Convex Decrease",2009
"61",0.490775572819678,0.43086301376416,0.563262279899981,1,"20%","Convex Decrease",2010
"62",0.488285193983821,0.427753357654736,0.561181842853484,1,"20%","Convex Decrease",2011
"63",0.480821247944364,0.422641974363117,0.550591836680075,1,"20%","Convex Decrease",2012
"64",0.472352169337508,0.413820778156325,0.541564951313737,1,"20%","Convex Decrease",2013
"65",0.465794331415808,0.406874623241666,0.535461447987147,1,"20%","Convex Decrease",2014
"66",0.461161778078224,0.403881310455453,0.529713931461368,1,"20%","Convex Decrease",2015
"67",0.456828053294234,0.399269918190835,0.524649800468783,1,"20%","Convex Decrease",2016
"68",0.45180667871991,0.39421565739361,0.519466300578244,1,"20%","Convex Decrease",2017
