"","trend_type","label","years","CI_high","CI_low","LPI_final","sim"
"1","Linear Decrease","20%",1950,1,1,1,"median"
"2","Linear Decrease","20%",1951,1.03667271899224,0.954223237722908,0.98875936443337,"median"
"3","Linear Decrease","20%",1952,1.04005164562838,0.937181664494429,0.98147300877445,"median"
"4","Linear Decrease","20%",1953,1.03811417638498,0.928916818837445,0.977999721956003,"median"
"5","Linear Decrease","20%",1954,1.04007202461753,0.926459148316658,0.978047375831196,"median"
"6","Linear Decrease","20%",1955,1.04416076157971,0.926425999875219,0.981067231907184,"median"
"7","Linear Decrease","20%",1956,1.0518338614469,0.929494307812572,0.986131117225386,"median"
"8","Linear Decrease","20%",1957,1.0620540683537,0.934855136207106,0.9937835655779,"median"
"9","Linear Decrease","20%",1958,1.06969387357863,0.941180300136661,0.999977680245276,"median"
"10","Linear Decrease","20%",1959,1.07836228216524,0.938294151431438,1.00290693717351,"median"
"11","Linear Decrease","20%",1960,1.0909374376624,0.93319510528796,1.00196823546695,"median"
"12","Linear Decrease","20%",1961,1.08993757025227,0.928915765726506,0.998888176388402,"median"
"13","Linear Decrease","20%",1962,1.08589924545447,0.919837561737959,0.993156327694032,"median"
"14","Linear Decrease","20%",1963,1.07433000795294,0.911771046149324,0.98124530342406,"median"
"15","Linear Decrease","20%",1964,1.05489835875,0.900518048892099,0.968684886450361,"median"
"16","Linear Decrease","20%",1965,1.03850972807903,0.879027065104014,0.95153207926247,"median"
"17","Linear Decrease","20%",1966,1.02292222394618,0.864972383100538,0.938041269828582,"median"
"18","Linear Decrease","20%",1967,1.01440969744897,0.855046620482572,0.926640393801081,"median"
"19","Linear Decrease","20%",1968,1.00741691053953,0.844746744017241,0.917055262500857,"median"
"20","Linear Decrease","20%",1969,1.00045954733104,0.834648110941535,0.908528916881148,"median"
"21","Linear Decrease","20%",1970,0.98772942670569,0.821241322073509,0.897102899373367,"median"
"22","Linear Decrease","20%",1971,0.975191561596112,0.807901510322311,0.882699793137554,"median"
"23","Linear Decrease","20%",1972,0.965193896484167,0.799640640732443,0.871652292706126,"median"
"24","Linear Decrease","20%",1973,0.957584915596153,0.796058692030195,0.866841674172222,"median"
"25","Linear Decrease","20%",1974,0.955776712609287,0.789183911762692,0.864505296506749,"median"
"26","Linear Decrease","20%",1975,0.952656506296268,0.78117692720178,0.857668087201649,"median"
"27","Linear Decrease","20%",1976,0.939719454323531,0.769380260264223,0.847602623810846,"median"
"28","Linear Decrease","20%",1977,0.928563791859278,0.756182803992104,0.83193506513459,"median"
"29","Linear Decrease","20%",1978,0.915690147251201,0.740493530051687,0.817806296815107,"median"
"30","Linear Decrease","20%",1979,0.903542277251286,0.730191162375019,0.806824566035941,"median"
"31","Linear Decrease","20%",1980,0.888385062727946,0.720164811473336,0.798480079959905,"median"
"32","Linear Decrease","20%",1981,0.876473962690439,0.706619823107424,0.785543337713274,"median"
"33","Linear Decrease","20%",1982,0.859223020892847,0.695435163780802,0.772058423709347,"median"
"34","Linear Decrease","20%",1983,0.845426695730692,0.677786271149692,0.756576004019985,"median"
"35","Linear Decrease","20%",1984,0.834104443803886,0.666128279150186,0.744849474775539,"median"
"36","Linear Decrease","20%",1985,0.828082243366203,0.662517615226222,0.740011866606205,"median"
"37","Linear Decrease","20%",1986,0.825298462876361,0.661649380774056,0.736371365279946,"median"
"38","Linear Decrease","20%",1987,0.817870354302043,0.653593859647627,0.727887703599333,"median"
"39","Linear Decrease","20%",1988,0.806903035846316,0.640949037019258,0.717093556179456,"median"
"40","Linear Decrease","20%",1989,0.794847897734258,0.628401037850675,0.705316441893904,"median"
"41","Linear Decrease","20%",1990,0.783188574180021,0.61661255070106,0.695420815676018,"median"
"42","Linear Decrease","20%",1991,0.778679912125802,0.611728255401657,0.69239732368868,"median"
"43","Linear Decrease","20%",1992,0.783577457061638,0.610806940614758,0.688796527117718,"median"
"44","Linear Decrease","20%",1993,0.785525476573478,0.610351186412522,0.690931935506378,"median"
"45","Linear Decrease","20%",1994,0.782510295976738,0.606470403111024,0.685001517196145,"median"
"46","Linear Decrease","20%",1995,0.767181361572795,0.592329444238473,0.669722845207025,"median"
"47","Linear Decrease","20%",1996,0.744560120434259,0.572629986876169,0.649673711304043,"median"
"48","Linear Decrease","20%",1997,0.723285937768989,0.558163942206995,0.632424834769475,"median"
"49","Linear Decrease","20%",1998,0.708389977427477,0.546397318506663,0.617793020814751,"median"
"50","Linear Decrease","20%",1999,0.696690508384979,0.53441871051288,0.608337746872664,"median"
"51","Linear Decrease","20%",2000,0.688178169117622,0.529177042675291,0.601266940918813,"median"
"52","Linear Decrease","20%",2001,0.682014778647337,0.52260904174626,0.59419979328772,"median"
"53","Linear Decrease","20%",2002,0.675711239205573,0.517785750544683,0.588278310459925,"median"
