"","years","LPI_final","CI_low","CI_high"
"1",1950,1,1,1
"2",1951,1.00013437308785,0.999452703178377,1.00081277855488
"3",1952,1.00056853022366,0.999767343054865,1.00137454641121
"4",1953,1.00121937850736,1.00030606897544,1.0022155137928
"5",1954,1.00168503603004,1.00065876793421,1.00276057489097
"6",1955,1.00183839455766,1.00070333967513,1.00302693690159
"7",1956,1.00190533680988,1.0006368815463,1.00315869826165
"8",1957,1.00186839070541,1.00052282422723,1.00322289169686
"9",1958,1.00197824591207,1.00053357102071,1.00338006347345
"10",1959,1.00187198342704,1.00031343878494,1.00345193427045
"11",1960,1.00174580019918,1.00017797986747,1.00338375276399
"12",1961,1.00167805398104,0.999983235810473,1.00342547783707
"13",1962,1.00186166792341,1.00016947302004,1.00355824849311
"14",1963,1.00215133647203,1.0003753627047,1.00387684185022
"15",1964,1.00238793677311,1.00051776715884,1.00413221033129
"16",1965,1.00227826036599,1.00037711098778,1.00411515563046
"17",1966,1.00230640485476,1.00027077218678,1.00423255370487
"18",1967,1.00222892657634,1.00013027450921,1.00428797245033
"19",1968,1.00178937978215,0.999731497203833,1.00388595286744
"20",1969,1.00143780654817,0.999334914626447,1.00361646826639
"21",1970,1.00100655433302,0.998907382174833,1.00327639201163
"22",1971,1.00077023884607,0.998603721308292,1.00299904767233
"23",1972,1.00067925925547,0.99835945333983,1.00289274909122
"24",1973,1.00070970137817,0.998475869088031,1.00298897874455
"25",1974,1.00062809411169,0.998312955981715,1.00293988833398
"26",1975,1.00073445207649,0.998473497152256,1.00312985134148
"27",1976,1.00065639578304,0.99824929336666,1.00317270043668
"28",1977,1.0006050325016,0.998055189676571,1.00315195206192
"29",1978,1.00038864884084,0.997784277475334,1.00297258796815
"30",1979,1.00001147920526,0.99732943156135,1.0026876910921
"31",1980,0.999900126001593,0.997252061298299,1.00259187329957
"32",1981,1.00016451294379,0.997549752781048,1.00290541264336
"33",1982,1.00057184561877,0.997831213775355,1.00330142657471
"34",1983,1.00077557614652,0.998062926305348,1.00348535443123
"35",1984,1.00085800306721,0.998076264002855,1.00370809904149
"36",1985,1.001217298751,0.99843284456847,1.00401248576131
"37",1986,1.00163861956751,0.998792907277873,1.00436851126463
"38",1987,1.00157634581172,0.998681128805854,1.00436192451081
"39",1988,1.00117046373628,0.998321214933972,1.00389318060935
"40",1989,1.00082628698805,0.997952742413258,1.00355218949027
"41",1990,1.00085956085591,0.997990261681775,1.00368749705978
"42",1991,1.00097864516188,0.997990139686771,1.00381181960445
"43",1992,1.00103882353988,0.998000702534696,1.00400501431778
"44",1993,1.0008710662585,0.997820435182312,1.00380462100982
"45",1994,1.00077353161431,0.99765731664409,1.00371547189835
"46",1995,1.00080789876267,0.997843030322698,1.00387444477399
"47",1996,1.00090735071036,0.997761904485159,1.00410741163561
"48",1997,1.00102934935859,0.997909951168183,1.00420343986746
"49",1998,1.00104120963574,0.997858409618107,1.00441244138907
"50",1999,1.00099134179218,0.997670579512537,1.00437181847635
"51",2000,1.00127013480467,0.997974507715357,1.00470647531841
"52",2001,1.00166789146616,0.998299744064387,1.00503378605621
"53",2002,1.00216197882226,0.998682175999386,1.00560798591726
"54",2003,1.00226917188079,0.998729999306516,1.00576738563134
"55",2004,1.0021464972435,0.998599524598193,1.00565468502304
"56",2005,1.00209801681271,0.998522108517637,1.00560461119351
"57",2006,1.00195819479513,0.998361153829738,1.00551483279539
"58",2007,1.00193649287174,0.998373130827633,1.00536171998741
"59",2008,1.00204727729907,0.998396390339854,1.00556907786566
"60",2009,1.00224138808845,0.99865254646725,1.00593269727318
"61",2010,1.00231137003676,0.99868444220457,1.0060528199888
"62",2011,1.00265000015396,0.99897954761641,1.0064212312107
"63",2012,1.00270168437266,0.999154290086784,1.00651053334575
"64",2013,1.00290521576453,0.999269578507265,1.00671819880198
"65",2014,1.00314295140223,0.999441657662522,1.00701183035806
"66",2015,1.00302051206754,0.999298412760719,1.00683047837304
"67",2016,1.00283038524261,0.998971358631676,1.00680336473575
"68",2017,1.00257946208245,0.998856329231723,1.00655637834439
"69",2018,1.00244452955054,0.998606123111067,1.00648666837777
"70",2019,1.00232187412226,0.998386302414768,1.00625001796094
"71",2020,1.00227439965161,0.998252383940075,1.00644231206583
