"","LPI_final","CI_low","CI_high","years"
"1950",1,1,1,1950
"1951",1.00042240355551,0.999654992874337,1.00116848021321,1951
"1952",1.00083833076564,0.999853011884477,1.00185002566299,1952
"1953",1.00050198117686,0.999308464374375,1.00175056144278,1953
"1954",1.00087824802823,0.999528885865143,1.00234502143952,1954
"1955",1.00025474023861,0.998705496409438,1.00189734632759,1955
"1956",0.999937808007619,0.998202777611338,1.00166569121844,1956
"1957",0.999909357139982,0.998041765644937,1.00179576995003,1957
"1958",0.999913318642092,0.997922240322929,1.00192153165032,1958
"1959",0.999834117057915,0.997766661277407,1.0020455126264,1959
"1960",0.999420522969959,0.997207546455165,1.00167874072383,1960
"1961",0.998972685284523,0.996670062739859,1.00136128869643,1961
"1962",0.999343752654023,0.996891147517103,1.00183723345086,1962
"1963",0.999390917004888,0.996843144148737,1.00191049231201,1963
"1964",0.999111045664206,0.996401388485161,1.0018540734664,1964
"1965",0.998517163922179,0.995761942633885,1.00128126948409,1965
"1966",0.99865667603685,0.995712881303603,1.00157765733145,1966
"1967",0.998434707015376,0.995408525176183,1.00149428343812,1967
"1968",0.997908022779428,0.994850878451019,1.00111021748382,1968
"1969",0.997011837841794,0.993875913485386,1.00020669761263,1969
"1970",0.995205542952548,0.992001668962173,0.998426726908605,1970
"1971",0.994368597353453,0.990986635706635,0.997714254342097,1971
"1972",0.993585630367097,0.990158559439785,0.9970020027731,1972
"1973",0.992789946592625,0.989161021662709,0.99627435973328,1973
"1974",0.992842990540283,0.989128151936629,0.996696361816883,1974
"1975",0.992150430338268,0.988102546643458,0.996113456779826,1975
"1976",0.99160743465476,0.987537293340837,0.995808521472451,1976
"1977",0.991696898634928,0.987598009069876,0.995797105507988,1977
"1978",0.991214477548704,0.98707812789307,0.995553950407334,1978
"1979",0.990447423054802,0.986101215957132,0.995096549039809,1979
"1980",0.988652757143801,0.984139966689197,0.993201159376925,1980
"1981",0.976885328399015,0.971964032033806,0.981986036331789,1981
"1982",0.9750959411443,0.969753504720689,0.980792280482449,1982
"1983",0.975336914323522,0.969405138387467,0.981604683511365,1983
"1984",0.970527221219767,0.963953223694454,0.976725743660309,1984
"1985",0.964000297255617,0.956882753938687,0.970908834870396,1985
"1986",0.97100345249445,0.963893251104892,0.978130347607808,1986
"1987",0.968964173371871,0.961386323308743,0.976494767276142,1987
"1988",0.967393424901701,0.959632002597352,0.975225541301023,1988
"1989",0.966731694596468,0.959175306869494,0.975006898875089,1989
"1990",0.964696486802404,0.956838467466197,0.9726406767769,1990
"1991",0.961093203742533,0.952963638712111,0.969488659528728,1991
"1992",0.952973149641256,0.944269117447406,0.96155124641109,1992
"1993",0.943706888473786,0.934715224729648,0.952704866843634,1993
"1994",0.934245302912142,0.924924437042282,0.943494726873247,1994
"1995",0.918640574825729,0.909291118939396,0.928567032812941,1995
"1996",0.90909147728746,0.899458004334813,0.920057644375158,1996
"1997",0.894541209366909,0.884391079088594,0.905830140587791,1997
"1998",0.884193828826355,0.873803861570698,0.896026422302671,1998
"1999",0.874409535228016,0.862890048142294,0.886263087952147,1999
"2000",0.871318735545175,0.858940207754789,0.88432585169475,2000
"2001",0.870462181063209,0.857420562248263,0.883949936894539,2001
"2002",0.861854711624917,0.848350381840963,0.87614772050072,2002
"2003",0.869246986029972,0.854891759496507,0.883997257851799,2003
"2004",0.873696384978334,0.859160696675256,0.88962868544206,2004
"2005",0.860646264126254,0.845750352327554,0.876688448851304,2005
"2006",0.851007466202348,0.835375682228973,0.866269256394132,2006
"2007",0.840225102002412,0.824117705107763,0.856271479267377,2007
"2008",0.826858406665882,0.810782080880683,0.843477125421203,2008
"2009",0.786200998406944,0.770512260834018,0.803056849517732,2009
"2010",0.729614920601246,0.71455317348965,0.746993844485699,2010
"2011",0.705894870648583,0.69031412423391,0.72222470885562,2011
"2012",0.699269421490852,0.683195661701731,0.716089015667683,2012
"2013",0.69053011764881,0.674279281968958,0.707770495991226,2013
"2014",0.69479172650598,0.677944223858153,0.712767722762509,2014
"2015",0.687266720811708,0.670781203842796,0.705116898331513,2015
"2016",0.685686464154902,0.66790864812346,0.704348757405212,2016
"2017",0.693836370836189,0.67599122660229,0.713353471014699,2017
"2018",0.69653219743718,0.677664087624473,0.716021736780217,2018
"2019",0.719146729250607,0.699630014656723,0.740331041221921,2019
"2020",0.728242200076006,0.708136496185411,0.750039394284172,2020
