"","LPI_final","CI_low","CI_high","years","label","sim"
"1",1,1,1,1950,"concave",1
"2",0.834777852120046,0.834095210656404,0.835462961837594,1951,"concave",1
"3",0.741986992851205,0.741227891373005,0.7426541048404,1952,"concave",1
"4",0.708650249031893,0.707868850602712,0.709455459501547,1953,"concave",1
"5",0.697049149270205,0.69620200161748,0.697841806840009,1954,"concave",1
"6",0.681383047036733,0.680516770904575,0.682235398991967,1955,"concave",1
"7",0.663743096454217,0.662849237723987,0.664632734051445,1956,"concave",1
"8",0.652860483374107,0.651927325538341,0.653781961003854,1957,"concave",1
"9",0.645523210843099,0.644563635341867,0.646489876398592,1958,"concave",1
"10",0.63521145709503,0.634247608815849,0.636238805864025,1959,"concave",1
"11",0.623880054590848,0.622870046516959,0.624891720523467,1960,"concave",1
"12",0.616288362524705,0.615270191687227,0.617310326258651,1961,"concave",1
"13",0.610805698375634,0.609770779799346,0.611862632836832,1962,"concave",1
"14",0.603281444842387,0.602166784309243,0.604370636531633,1963,"concave",1
"15",0.594973490662584,0.59383880092433,0.596104350212093,1964,"concave",1
"16",0.588933894093959,0.58778028112015,0.590091828905966,1965,"concave",1
"17",0.584298974100604,0.583131385062551,0.585512158672049,1966,"concave",1
"18",0.578264496378227,0.577081404791285,0.579480498799256,1967,"concave",1
"19",0.57136331306191,0.570167985809833,0.572585041969747,1968,"concave",1
"20",0.566142550326972,0.564906625618972,0.567408608510842,1969,"concave",1
"21",0.562061484655439,0.56082753127745,0.563368421090512,1970,"concave",1
"22",0.557096289699097,0.5558754880019,0.558481461208786,1971,"concave",1
"23",0.55145699588325,0.550219858884592,0.552811399223349,1972,"concave",1
"24",0.547052825855857,0.545782605849471,0.548438203432007,1973,"concave",1
"25",0.543531530987583,0.542207403479494,0.54493615438575,1974,"concave",1
"26",0.539182777829269,0.5378544113604,0.540668127685332,1975,"concave",1
"27",0.53423808553716,0.532924765250584,0.535690244869899,1976,"concave",1
"28",0.53037400598933,0.529030266959448,0.531843297008596,1977,"concave",1
"29",0.527200870678772,0.525824559400169,0.528659695288035,1978,"concave",1
"30",0.5232525733797,0.521844919058728,0.524686188970254,1979,"concave",1
"31",0.518863610777821,0.517420193135898,0.520308274888633,1980,"concave",1
"32",0.515543819065505,0.514075671252042,0.51702514962835,1981,"concave",1
"33",0.513026724309352,0.511528349725285,0.514473137140256,1982,"concave",1
"34",0.509849042351789,0.508338881161841,0.511304055294045,1983,"concave",1
"35",0.50602451201947,0.504546676420582,0.507505035058134,1984,"concave",1
"36",0.502955738003052,0.50147160258123,0.504480874204226,1985,"concave",1
"37",0.500538909807743,0.498979670277827,0.502055660994915,1986,"concave",1
"38",0.497489543931121,0.495950694501615,0.499000741392548,1987,"concave",1
"39",0.493889002719144,0.492283289122467,0.495378298187566,1988,"concave",1
"40",0.490815903321933,0.48927437591535,0.492330215496607,1989,"concave",1
"41",0.488509782423227,0.486934316975044,0.490009352082068,1990,"concave",1
"42",0.485836047994988,0.48430780274662,0.487359094023144,1991,"concave",1
"43",0.48255257942871,0.48098738492521,0.484058114266329,1992,"concave",1
"44",0.479683768867358,0.478143541195355,0.481199382126072,1993,"concave",1
"45",0.477392626925917,0.475829000751979,0.478909440298213,1994,"concave",1
"46",0.47482811335579,0.473255219796307,0.476394012796879,1995,"concave",1
"47",0.471850222503454,0.470230025219036,0.473414989601219,1996,"concave",1
"48",0.469257732322759,0.467597901435771,0.470886087407963,1997,"concave",1
"49",0.467308572480137,0.465652567664526,0.468957179304487,1998,"concave",1
"50",0.465028085947547,0.463416263010099,0.4666303930109,1999,"concave",1
"51",0.462261559439307,0.460651444852837,0.463883458780534,2000,"concave",1
"52",0.459936868875107,0.458333606822451,0.461552887626763,2001,"concave",1
"53",0.458169932186217,0.456552948962723,0.459802031418456,2002,"concave",1
"54",0.456089990361161,0.454509471382245,0.457715656009266,2003,"concave",1
"55",0.453484771313541,0.451884128995245,0.455159253658149,2004,"concave",1
"56",0.451117727303877,0.449524579973042,0.452777990853496,2005,"concave",1
"57",0.449338995202526,0.447706216657887,0.451009186460961,2006,"concave",1
"58",0.447408967217385,0.445802467619449,0.449086718335226,2007,"concave",1
"59",0.445124433435245,0.443533886778261,0.446838162938168,2008,"concave",1
