"","LPI_final","CI_low","CI_high","years","numZeros"
"1950",1,1,1,1950,15
"1951",1.01110663014306,0.990289771322495,1.03899608316724,1951,15
"1952",1.0190237844705,0.991528461528344,1.0526762712815,1952,11
"1953",1.01823964359953,0.988658338909063,1.05047591310564,1953,12
"1954",1.01916231915881,0.985632135810199,1.05518437636565,1954,12
"1955",1.01373100522229,0.971821111149409,1.05660159296714,1955,16
"1956",1.00908131283819,0.965989005715908,1.05487898997834,1956,17
"1957",1.01491954233427,0.967556636236938,1.06228543155894,1957,9
"1958",1.02232154476825,0.97441157183588,1.0723748736968,1958,15
"1959",1.02894112732576,0.974864718397172,1.08632224623106,1959,17
"1960",1.04366791162001,0.986706476356325,1.10364911843566,1960,19
"1961",1.05924628762816,1.00152469007243,1.12291099848055,1961,15
"1962",1.05497749555924,0.996149539024692,1.11930161460145,1962,16
"1963",1.05667112867847,0.9981707667848,1.12019777990014,1963,13
"1964",1.05951787862935,1.00022271941864,1.12525578718844,1964,17
"1965",1.05990877536533,0.999644500960701,1.12734364850119,1965,18
"1966",1.06890476733953,1.00469992598422,1.14334675628981,1966,16
"1967",1.07623078045403,1.01087683556945,1.14921114248135,1967,12
"1968",1.07851714307502,1.01044906684707,1.15294338047798,1968,17
"1969",1.08007686440246,1.01131107419841,1.15434244677258,1969,14
"1970",1.07622584161742,1.00935476118513,1.14969801368529,1970,43
"1971",1.08183897463348,1.01421245835342,1.15754603146903,1971,38
"1972",1.08487407508137,1.01615134106186,1.16103304640386,1972,41
"1973",1.08843653103813,1.01931083876343,1.16517949728672,1973,44
"1974",1.09116194465636,1.01931497384957,1.16749078561712,1974,41
"1975",1.09208474880038,1.02171356687278,1.16888195540435,1975,61
"1976",1.09850059011166,1.02746328852882,1.17661007561653,1976,50
"1977",1.10086409227994,1.02966787112941,1.17877364603428,1977,46
"1978",1.10328414694683,1.03167723088689,1.18103599605988,1978,43
"1979",1.1043223705618,1.03252199915601,1.18155702415183,1979,56
"1980",1.10320428703185,1.02916604860963,1.18242900892102,1980,60
"1981",1.10058260725753,1.02708462367962,1.18057461620119,1981,220
"1982",1.09423064680918,1.02081713172319,1.17227166127478,1982,254
"1983",1.10672323024756,1.02948535501849,1.18802568538893,1983,227
"1984",1.08725567529769,1.01089646038911,1.17016512916798,1984,299
"1985",1.07069837634686,0.995302914970565,1.15192768188472,1985,358
"1986",1.06371268639366,0.989031788107641,1.14755798294078,1986,247
"1987",1.06366854982683,0.988694171497235,1.15030768405921,1987,276
"1988",1.05952880086409,0.984227799219392,1.14482130669714,1988,298
"1989",1.05739575601483,0.984546953134389,1.14301037752247,1989,275
"1990",1.05239908151291,0.97974900703239,1.13877118656735,1990,298
"1991",1.05028629860413,0.978023867534259,1.13672271445914,1991,342
"1992",1.04721955572786,0.975099539856574,1.13192970128296,1992,445
"1993",1.04145381789814,0.969461720355134,1.12652227125319,1993,518
"1994",1.04141380524852,0.970332723994935,1.12769325159255,1994,606
"1995",1.04128337312722,0.970770087209391,1.12899705268773,1995,783
"1996",1.02377398272465,0.952651487485087,1.10701636053073,1996,884
"1997",1.00917496392105,0.938505553268,1.09156750142226,1997,1052
"1998",0.98352233474335,0.91227231110688,1.06491302280672,1998,1161
"1999",0.957409632463052,0.888780427990349,1.03613907683974,1999,1307
"2000",0.939909298740376,0.87255943242737,1.02090339593941,2000,1329
"2001",0.923405904483861,0.856294799611376,1.0015221099582,2001,1349
"2002",0.906387096550046,0.841206740215827,0.984306291077582,2002,1476
"2003",0.901318048098385,0.8350012471472,0.976139357314173,2003,1318
"2004",0.886268369966344,0.820623445352425,0.961436693177778,2004,1189
"2005",0.867909629315777,0.805785339037865,0.942211388035546,2005,1403
"2006",0.8503982010493,0.787714137469227,0.92115873506965,2006,1504
"2007",0.836326311572178,0.774412756059161,0.906317121217676,2007,1646
"2008",0.826795917832785,0.765766676110601,0.895290899528902,2008,1676
"2009",0.815495438407778,0.752158528109037,0.884112182443314,2009,2049
"2010",0.795742728124928,0.733584632222912,0.863522541699232,2010,3216
"2011",0.777617841151834,0.716193090666349,0.846325589921258,2011,3331
"2012",0.762150538057238,0.70065861862672,0.83166015215738,2012,3137
"2013",0.755820929896741,0.693669085044832,0.822450154429792,2013,3401
"2014",0.738185806772804,0.676692748969297,0.802326985665483,2014,3113
"2015",0.730127700075671,0.670578877141319,0.794137150749279,2015,3362
"2016",0.70578114965394,0.648022431485891,0.770294622355067,2016,3369
"2017",0.66640282170714,0.611447303869965,0.727113300305959,2017,3238
"2018",0.656455065963292,0.599922664840429,0.718603614273632,2018,3205
"2019",0.630667647803568,0.574810726312349,0.692382321948958,2019,2716
"2020",0.580311915966557,0.528226454668046,0.634842428453752,2020,2580
