"","LPI_final","CI_low","CI_high","years","numZeros","sim","label"
"1",1,1,1,1950,14,1,"Permutations"
"2",0.934841325708874,0.895741459041999,1.0485062009708,1951,12,1,"Permutations"
"3",0.968756356481446,0.90732452168714,1.02461182996735,1952,17,1,"Permutations"
"4",1.036647400512,0.933519924949078,1.12555054116748,1953,8,1,"Permutations"
"5",1.03523792720378,0.970297566292292,1.15515106869993,1954,9,1,"Permutations"
"6",1.06092947869562,1.01750191385107,1.11745292532869,1955,11,1,"Permutations"
"7",1.05969562766022,0.993139542267232,1.11102269009741,1956,9,1,"Permutations"
"8",1.0351661440422,0.968715580331326,1.12574855573487,1957,5,1,"Permutations"
"9",1.04657077401624,0.99003320425674,1.13704866247801,1958,15,1,"Permutations"
"10",1.06939943189577,0.998184441774558,1.18997518267282,1959,16,1,"Permutations"
"11",1.07677318704379,1.00598976144466,1.21674701472008,1960,12,1,"Permutations"
"12",1.09114160942357,1.02343212463826,1.25413306822972,1961,7,1,"Permutations"
"13",1.0762054257244,1.011088192438,1.25110905391604,1962,9,1,"Permutations"
"14",1.082820380382,1.00539734108342,1.2649733637991,1963,12,1,"Permutations"
"15",1.08411827734807,1.00258858812263,1.28151335072037,1964,14,1,"Permutations"
"16",1.08616978271851,1.00276599194579,1.29625822960037,1965,17,1,"Permutations"
"17",1.0965489286669,1.0040328248726,1.29333440849946,1966,15,1,"Permutations"
"18",1.07643275967404,0.976897554388225,1.25907023132553,1967,18,1,"Permutations"
"19",1.10024671648769,0.989699630129622,1.28517469232422,1968,16,1,"Permutations"
"20",1.11270604074386,1.0192547928022,1.30335959724616,1969,15,1,"Permutations"
"21",1.09846659673282,0.993355093533698,1.29611792420458,1970,35,1,"Permutations"
"22",1.111861779025,1.0134028068776,1.30657374676735,1971,32,1,"Permutations"
"23",1.12644638271167,1.01941122283695,1.33157752668407,1972,32,1,"Permutations"
"24",1.11589769160995,1.01698662111753,1.311363525833,1973,42,1,"Permutations"
"25",1.11173137749512,1.01502208851298,1.31044858952338,1974,39,1,"Permutations"
"26",1.10443683333926,1.02198115849282,1.29578494113103,1975,52,1,"Permutations"
"27",1.10367039947637,1.02694503474714,1.29313373964788,1976,41,1,"Permutations"
"28",1.11622835264128,1.03303443990334,1.31415907151875,1977,53,1,"Permutations"
"29",1.11692647812384,1.02751595962458,1.3205727652445,1978,40,1,"Permutations"
"30",1.11516619701276,1.02907264873923,1.30320028759885,1979,59,1,"Permutations"
"31",1.12328129847042,1.0445683210946,1.32028949100944,1980,50,1,"Permutations"
"32",1.13281708304478,1.04981862191153,1.33665186226128,1981,268,1,"Permutations"
"33",1.13949007137317,1.06722454965953,1.34640365002513,1982,273,1,"Permutations"
"34",1.12878705414123,1.04737321768495,1.34178053887198,1983,331,1,"Permutations"
"35",1.13804023281869,1.05768567758541,1.35373695793868,1984,340,1,"Permutations"
"36",1.14146036387318,1.05173782673886,1.3528118119942,1985,392,1,"Permutations"
"37",1.13850090947297,1.04175142441909,1.35401306651753,1986,258,1,"Permutations"
"38",1.13347968712238,1.04039653023153,1.35599671064716,1987,299,1,"Permutations"
"39",1.13036741263659,1.02518537841355,1.35539274553043,1988,321,1,"Permutations"
"40",1.13548088590019,1.02888146061303,1.35363663403719,1989,308,1,"Permutations"
"41",1.13696568716864,1.03235090833463,1.35324130197293,1990,304,1,"Permutations"
"42",1.13767503863183,1.03356271065452,1.3535189417076,1991,379,1,"Permutations"
"43",1.13941965793706,1.03593430619523,1.36291363196146,1992,488,1,"Permutations"
"44",1.15286216922873,1.05379644839956,1.37008937240104,1993,565,1,"Permutations"
"45",1.14441059253898,1.05085303281105,1.36520354425686,1994,679,1,"Permutations"
"46",1.1384568883518,1.04433673886574,1.3548264566004,1995,957,1,"Permutations"
"47",1.14303846204492,1.04256677655226,1.36096323957138,1996,1008,1,"Permutations"
"48",1.14685471703731,1.03901910016717,1.37824762500279,1997,1153,1,"Permutations"
"49",1.13621899318529,1.03034226944731,1.36957881148761,1998,1306,1,"Permutations"
"50",1.13789414159754,1.0422606870131,1.37530649420898,1999,1293,1,"Permutations"
"51",1.12743468506966,1.03013588971309,1.36256503655336,2000,1409,1,"Permutations"
"52",1.14087306565167,1.03594140867632,1.3806228924179,2001,1393,1,"Permutations"
"53",1.13312969550988,1.03209030980053,1.36158192329771,2002,1491,1,"Permutations"
"54",1.12678232276945,1.02745013329425,1.3548881151081,2003,1436,1,"Permutations"
"55",1.13201636707035,1.029684344798,1.35669518713787,2004,1308,1,"Permutations"
"56",1.13221597441791,1.02121397288569,1.35830078927025,2005,1468,1,"Permutations"
"57",1.13737078320547,1.02361916417453,1.35872426347066,2006,1546,1,"Permutations"
"58",1.14400437029193,1.03460650154774,1.35815621988615,2007,1612,1,"Permutations"
"59",1.13888333574502,1.02101229661167,1.35747118972635,2008,1668,1,"Permutations"
"60",1.13610226430509,1.02524306344624,1.36105163033835,2009,1974,1,"Permutations"
"61",1.13825985320142,1.02241976784457,1.35721890260689,2010,3151,1,"Permutations"
"62",1.11718673830637,1.00992927751779,1.34385845184321,2011,3327,1,"Permutations"
"63",1.11624903053565,1.01418517139627,1.34490076732692,2012,3208,1,"Permutations"
"64",1.12516205070778,1.02879445653645,1.35472667011991,2013,3347,1,"Permutations"
"65",1.12889915553081,1.03051111747258,1.35987981799161,2014,3191,1,"Permutations"
"66",1.14543425007579,1.06425264945957,1.3765949224213,2015,3200,1,"Permutations"
"67",1.13019900245803,1.06079566686158,1.35744508657448,2016,3211,1,"Permutations"
"68",1.11894167694093,1.03698716137669,1.3597415765211,2017,2908,1,"Permutations"
"69",1.14075487935839,1.0637085413082,1.40439191836982,2018,3022,1,"Permutations"
"70",1.19657292620954,1.11000534256873,1.499486500571,2019,2601,1,"Permutations"
"71",1.19657292620954,1.11000534256873,1.499486500571,2020,2157,1,"Permutations"
"72",1,1,1,1950,10,2,"Permutations"
"73",0.947539865585803,0.924160542533517,1.02261645947204,1951,7,2,"Permutations"
"74",0.997075675873038,0.966867812036379,1.12135989550908,1952,9,2,"Permutations"
"75",0.996125801700494,0.939112261412354,1.15541560957816,1953,13,2,"Permutations"
"76",0.961412064594755,0.890604836663813,1.07628138771749,1954,10,2,"Permutations"
"77",0.957143575481502,0.875159546464271,1.08273800375343,1955,12,2,"Permutations"
"78",0.958369314812973,0.889545992160054,1.09803156685535,1956,8,2,"Permutations"
"79",0.980416142021989,0.914572858799466,1.13720336427382,1957,6,2,"Permutations"
"80",0.972968240458098,0.92288833620746,1.14048328960161,1958,11,2,"Permutations"
"81",0.985254896457607,0.910575673577731,1.1600863503005,1959,12,2,"Permutations"
"82",0.968997368520882,0.897372309806633,1.13192352146268,1960,16,2,"Permutations"
"83",1.01015599229717,0.936985199424764,1.1974823735178,1961,12,2,"Permutations"
"84",0.980398278360674,0.878237223136252,1.16143757572352,1962,13,2,"Permutations"
"85",0.993604725406796,0.890735792819646,1.15876308229568,1963,11,2,"Permutations"
"86",1.02885796527331,0.955365296870613,1.21080413563315,1964,11,2,"Permutations"
"87",1.00200683396892,0.946385066087329,1.1775669014348,1965,17,2,"Permutations"
